Year,Planning Area,Age Range,Value
2020,Serangoon,25-59,57530
2020,Serangoon,60+,32600
2020,Simpang,0-24,0
2020,Simpang,25-59,0
2020,Simpang,60+,0
2020,Singapore River,0-24,890
2020,Singapore River,25-59,1940
2020,Singapore River,60+,460
2020,Southern Islands,0-24,550
2020,Southern Islands,25-59,1140
2020,Southern Islands,60+,270
2020,Straits View,0-24,0
2020,Straits View,25-59,0
2020,Straits View,60+,0
2020,Sungei Kadut,0-24,180
2020,Sungei Kadut,25-59,350
2020,Sungei Kadut,60+,240
2020,Tampines,0-24,66090
2020,Tampines,25-59,134210
2020,Tampines,60+,59620
2020,Tanglin,0-24,6140
2020,Tanglin,25-59,11220
2020,Tanglin,60+,4470
2020,Tengah,0-24,0
2020,Tengah,25-59,0
2020,Tengah,60+,0
2020,Toa Payoh,0-24,26380
2020,Toa Payoh,25-59,60540
2020,Toa Payoh,60+,34950
2020,Tuas,0-24,0
2020,Tuas,25-59,0
2020,Tuas,60+,0
2020,Western Islands,0-24,0
2020,Western Islands,25-59,0
2020,Western Islands,60+,0
2020,Western Water Catchment,0-24,250
2020,Western Water Catchment,25-59,330
2020,Western Water Catchment,60+,60
2020,Woodlands,0-24,77050
2020,Woodlands,25-59,136610
2020,Woodlands,60+,41500
2020,Yishun,0-24,58370
2020,Yishun,25-59,118560
2020,Yishun,60+,44700
